sector,monto_financiado,num_rondas,tamano_equipo,exp_fundadores,presencia_redes,ubicacion,inversores_destacados,descripcion,tiempo_fundacion,estado_operativo,viabilidad
SaaS,7638743.2,4.0,14.0,2.4,40.8,Arequipa ,0.0,apoyo de inversores reconocidos. operando en el mercado. acuerdos B2B con 12 empresas y pipeline sólido,2012.0,activo,0
AI/ML,2872217.6,5.0,30.0,0.4,21.0,Bogotá,0.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. equipo con 5+ años de experiencia. operando en el mercado. crecimiento mensual 21% y churn bajo. enfocado en Gaming con enfoque API-first,2017.0,activo,0
 ai/ml ,1818647.5,4.0,10.0,3.3,44.6,Piura,1.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. buena presencia en redes. operando en el mercado. MVP listo y primeros beta testers,2017.0,activo ,1
EdTech,5770007.1,4.0,3.0,4.3,46.4,Quito,0.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. equipo con 9+ años de experiencia. operando en el mercado. crecimiento mensual 14% y churn bajo. sin modelo de ingresos definido,2015.0,activo,1
E-commerce,1021592.9,2.0,11.0,0.8,41.6, Piura ,0.0,apoyo de inversores reconocidos. enfocado en Logistics con enfoque app móvil,2009.0,activo,0
AgroTech,7631603.4,5.0,7.0,6.0,49.7,Cusco,1.0,equipo con 11+ años de experiencia. operando en el mercado. enfocado en E-commerce con enfoque B2B. sin modelo de ingresos definido,2011.0, activo ,1
Gaming,1502555.0,2.0,26.0,11.9,35.7,Trujillo,0.0,apoyo de inversores reconocidos. equipo con 6+ años de experiencia. tracción probada: piloto pagado en Piura. expansión a Lima en próximos meses. equipo parcial y tiempo limitado,2024.0,prototipo,1
 E-Commerce,1071600.0,4.0,2.0,8.4,69.3,Trujillo,0.0,financiamiento semilla cerrado. operando en el mercado. crecimiento mensual 19% y churn bajo. expansión a Buenos Aires en próximos meses. dependencia alta de marketing pago,2022.0,prototipo,1
E-commerce,1538291.4,0.0,46.0,0.0,55.2,Lima,0.0,apoyo de inversores reconocidos. operando en el mercado. acuerdos B2B con 12 empresas y pipeline sólido,2009.0,activo,0
LOGISTICS,1212315.4,1.0,48.0,5.4,60.2,Buenos Aires,0.0,financiamiento semilla cerrado. buena presencia en redes. cofundadores con 3+ años de experiencia en AI/ML,2007.0, activo,1
Logistics,1936483.4,3.0,32.0,5.3,73.6, piura,0.0,apoyo de inversores reconocidos,2019.0, prototipo,1
E-Commerce ,3033536.6,1.0,50.0,3.1,64.6, Cusco ,1.0,financiamiento semilla cerrado. operando en el mercado,2009-aprox,activo,0
HealthTech,912383.4,0.0,18.0,2.1,41.5, lima ,0.0,equipo con 7+ años de experiencia. operando en el mercado. cofundadores con 7+ años de experiencia en HealthTech,2017.0,cerrado,1
Logistics,89402.8,5.0,44.0,3.8,18.3, Arequipa,0.0,operando en el mercado. tracción probada: piloto pagado en Lima. MVP listo y primeros beta testers,2007.0,prototipo,1
E-commerce,392015.7,0.0,6.0,4.4,40.7,Lima,1.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. crecimiento mensual 11% y churn bajo,2024.0,cerrado,0
SaaS,1732586.6,0.0,17.0,2.5,25.4,Cusco,0.0,equipo con 7+ años de experiencia. operando en el mercado. expansión a CDMX en próximos meses,2023.0,activo ,0
AI/ML,1371207.7,5.0,9.0,0.0,24.6, Cdmx,1.0,tracción probada: piloto pagado en Quito. MVP listo y primeros beta testers,2022.0,prototipo,0
Agrotech,3040443.9,4.0,13.0,0.5,96.9,Lima,0.0,apoyo de inversores reconocidos. expansión a Arequipa en próximos meses,2018.0,cerrado,1
Fintech,2926308.0,1.0,4.0,7.3,62.9,Cusco,0.0,equipo con 11+ años de experiencia. operando en el mercado. enfocado en E-commerce con enfoque B2B. sin modelo de ingresos definido,2012.0,activo,1
EdTech,6299925.7,3.0,5.0,6.0,70.6,Bogotá,0.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. buena presencia en redes. tracción probada: piloto pagado en Quito,2009-aprox, activo,0
agrotech,3591163.9,0.0,37.0,2.5,53.1,Quito,0.0,equipo con 8+ años de experiencia. cofundadores con 8+ años de experiencia en EdTech. sin modelo de ingresos definido,2007.0,activo,0
Logistics,669409.8,2.0,39.0,1.3,53.2,Trujillo,Sí,buena presencia en redes. operando en el mercado. acuerdos B2B con 17 empresas y pipeline sólido. sin modelo de ingresos definido,2009.0,activo,1
EdTech,6306971.4,1.0,14.0,3.4,42.4,Lima,0.0,apoyo de inversores reconocidos. operando en el mercado. acuerdos B2B con 14 empresas y pipeline sólido. enfocado en E-commerce con enfoque app móvil. sin modelo de ingresos definido,2024.0,activo,1
Fintech ,5175000.0,0.0,47.0,1.9,25.5,Lima,1.0,crecimiento mensual 25% y churn bajo. sin modelo de ingresos definido,2016.0,activo,0
 HealthTech ,3465347.6,2.0,22.0,4.7,83.7,Cdmx ,1.0,operando en el mercado. acuerdos B2B con 16 empresas y pipeline sólido. enfocado en E-commerce con enfoque marketplace,2014.0,activo,1
SaaS,539021.3,3.0,3.0,2.2,85.1,Quito,0.0,apoyo de inversores reconocidos. buena presencia en redes. equipo con 8+ años de experiencia. aún sin usuarios activos,2012.0,activo,1
AI/ML,319724.0,1.0,43.0,4.8,41.8,Cusco,0.0,financiamiento semilla cerrado. operando en el mercado. expansión a Trujillo en próximos meses,2011.0,prototipo,0
EdTech,2108507.8,0.0,20.0,5.2,55.9, Arequipa ,0.0,buena presencia en redes. operando en el mercado. MRR de $3203 con 69 clentes activos,2025-aprox,activo,0
Gaming,465345.1,3.0,12.0,6.4,64.4, Quito,1.0,apoyo de inversores reconocidos. buena presencia en redes. operando en el mercado. MRR de $1845 con 141 clentes activos. MVP listo y primeros beta testers. equipo parcial y tiempo limitado,2011.0,prototipo,1
Gaming,1151207.7,1.0,38.0,2.9,40.1,Lima,0.0,operando en el mercado. enfocado en AI/ML con enfoque app móvil,2019.0,activo,0
EdTech,261755.9,0.0,24.0,6.6,27.8,Trujillo,0.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. buena presencia en redes. operando en el mercado. MVP listo y primeros beta testers,2017.0,prototipo,1
Logistics,3026360.0,5.0,46.0,8.2,9.4,Arequipa,0.0,apoyo de inversores reconocidos. operando en el mercado. MRR de $5940 con 44 clientes activos. expansión a Trujillo en próximos meses,2013.0,activo,1
Gaming,1869772.3,1.0,16.0,4.8,31.4,Cusco,0.0,buena presencia en redes. operando en el mercado. enfocado en HealthTech con enfoque marketplace. dependencia alta de marketing pago,2008.0,activo,0
AgroTech,1248735.5,0.0,16.0,3.2,32.4,quito ,0.0,equipo con 8+ años de experiencia. enfocado en Travel con enfoque B2C,2015.0,prototipo,0
Fintech,4316783.8,4.0,33.0,6.2,39.0,Trujillo,0.0,operando en el mercado,2005.0,prototipo,1
AI/ML,2191917.1,5.0,48.0,4.1,21.0,Buenos Aires,0.0,financiamiento semilla cerrado. equipo con 8+ años de experiencia,2025.0,activo,1
gaming,33071709.3,2.0,42.0,5.3,57.3,Lima,0.0,equipo con 6+ años de experiencia. crecimiento mensual 25% y churn bajo. enfocado en EdTech con enfoque app móvil. equipo parcial y tiempo limitado,2014.0,prototipo,1
SaaS,849930.5,0.0,48.0,6.3,61.7,Cusco ,0.0,equipo con 6+ años de experiencia. crecimiento mensual 25% y churn bajo. enfocado en EdTech con enfoque app móvil. equipo parcial y tiempo limitado,2025.0,prototipo,1
 logistics,4866972.2,0.0,28.0,5.8,91.6,Arequipa,1.0,equipo con 8+ años de experiencia. operando en el mercado. enfocado en Logistics con enfoque SaaS. dependencia alta de marketing pago,2020.0,activo,1
Logistics ,10266755.3,3.0,18.0,5.2,-7.8,Arequipa ,0.0,apoyo de inversores reconocidos. equipo con 5+ años de experiencia. operando en el mercado. enfocado en AI/ML con enfoque SaaS. equipo parcial y tiempo limitado,2018.0, activo,0
 healthtech ,2055039.9,0.0,23.0,6.0,121.4,Santiago,No,apoyo de inversores reconocidos. financiamiento semilla cerrado. buena presencia en redes. tracción probada: piloto pagado en Quito,2022.0,activo,0
ai/ml,1677052.1,0.0,26.0,4.2,119.9,Santiago,1.0,operando en el mercado. enfocado en AI/ML con enfoque API-first,2021.0,activo,1
EdTech,1742947.0,0.0,20.0,5.1,38.4,Arequipa,1.0,acuerdos B2B con 18 empresas y pipeline sólido. enfocado en SaaS con enfoque marketplace. aún sin usuarios activos,2021.0,en pausa,0
AI/ML,3558884.8,5.0,17.0,3.2,2.0, Bogotá,0.0,apoyo de inversores reconocidos. enfocado en Fintech con enfoque API-first,2025-aprox,activo,1
 gaming,1828220.9,5.0,24.0,1.9,43.0, CUSCO,0.0,enfocado en Fintech con enfoque SaaS,2010.0,activo,1
AI/ML,1727597.6,1.0,49.0,2.4,49.2,Cusco,0.0,tracción probada: piloto pagado en Lima,2012-aprox,Activo ,1
AI/ML,2019722.0,3.0,27.0,2.8,57.8,Quito,1.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. tracción probada: piloto pagado en Santiago. enfocado en Fintech con enfoque app móvil. equipo parcial y tiempo limitado,2017.0,activo ,1
 Fintech,4707988.6,5.0,8.0,7.5,58.2,Trujillo,0.0,equipo con 6+ años de experiencia. operando en el mercado. tracción probada: piloto pagado en Piura. MVP listo y primeros beta testers. equipo parcial y tiempo limitado,2012.0,activo,1
Gaming,4637965.8,5.0,34.0,2.3,8.0,Santiago,No,MVP listo y primeros beta testers,2016.0,activo,1
HealthTech,563200.0,1.0,22.0,5.8,49.5,bogotá,0.0,buena presencia en redes. MRR de $4142 con 98 clientes activos. MVP listo y primeros beta testers. aún sin usuarios activos,2025.0,prototipo,0
Fintech,612835.4,1.0,1.0,4.9,32.2,Santiago,0.0,cofundadores con 3+ años de experiencia en HealthTech. expansión a Bogotá en próximos meses,2005.0,activo,1
Fintech,771951.0,3.0,2.0,4.7,58.2, quito ,1.0,apoyo de inversores reconocidos. equipo con 5+ años de experiencia. acuerdos B2B con 4 empresas y pipeline sólido. expansión a Lima en próximos meses. sin modelo de ingresos definido,2022.0,prototipo,0
SaaS,129841.0,2.0,39.0,7.7,36.6,CDMX,No,apoyo de inversores reconocidos. enfocado en EdTech con enfoque marketplace,2010.0,activo,1
AI/ML,4545822.8,4.0,36.0,3.0,17.5,Arequipa ,No,apoyo de inversores reconocidos. financiamiento semilla cerrado. tracción probada: piloto pagado en Trujillo. expansión a Quito en próximos meses. aún sin usuarios activos,2017.0,activo,1
Gaming,3308736.4,2.0,16.0,1.6,74.2, Cusco,0.0,equipo con 6+ años de experiencia. expansión a CDMX en próximos meses,2025.0,activo,1
 EdTech ,1435810.4,1.0,7.0,3.2,58.5,Lima,0.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. buena presencia en redes. tracción probada: piloto pagado en Cusco,2012.0,cerrado,0
fintech,4031660.8,3.0,17.0,2.5,66.6,Buenos Aires,0.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. equipo con 5+ años de experiencia,2019.0,cerrado,1
 HealthTech ,3140153.0,1.0,50.0,4.7,62.0,Arequipa,0.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. equipo con 8+ años de experiencia. operando en el mercado. crecimiento mensual 26% y churn bajo. enfocado en EdTech con enfoque API-first,2010.0, activo,1
 Ai/Ml ,1568378.1,0.0,8.0,3.9,77.9,Trujillo,0.0,apoyo de inversores reconocidos. buena presencia en redes. crecimiento mensual 28% y churn bajo. dependencia alta de marketing pago,2010-aprox,activo,0
EdTech,2045734.7,3.0,28.0,7.8,44.8,CDMX ,0.0,operando en el mercado. expansión a Cusco en próximos meses. equipo parcial y tiempo limitado,2007.0, PROTOTIPO ,1
AgroTech,5992055.7,5.0,42.0,0.2,60.6,Quito,0.0,apoyo de inversores reconocidos. tracción probada: piloto pagado en Piura. sin modelo de ingresos definido,2009.0, activo,0
 GAMING ,6866161.9,4.0,9.0,3.0,15.1,Cusco,1.0,apoyo de inversores reconocidos. operando en el mercado. crecimiento mensual 22% y churn bajo. enfocado en SaaS con enfoque SaaS,2011-aprox, activo,0
AgroTech,6017290.5,2.0,23.0,1.3,130.7,Santiago,0.0,cofundadores con 3+ años de experiencia en Fintech. expansión a CDMX en próximos meses. aún sin usuarios activos,2025.0,prototipo,0
AgroTech,1835750.7,1.0,12.0,7.3,53.4,Lima,0.0,operando en el mercado. enfocado en Fintech con enfoque SaaS,2025.0,prototipo,0
AI/ML,2551763.4,5.0,13.0,2.7,43.3,Bogotá,0.0,apoyo de inversores reconocidos. operando en el mercado. cofundadores con 2+ años de experiencia en Logistics. expansión a Bogotá en próximos meses,2007.0,prototipo,0
SaaS,2487273.8,0.0,1.0,2.6,-10.0,Santiago,0.0,MRR de $1703 con 123 clientes activos. enfocado en EdTech con enfoque marketplace. equipo parcial y tiempo limitado,2013.0,activo,0
Logistics ,5109860.4,0.0,50.0,5.9,24.8,piura ,0.0,equipo con 7+ años de experiencia. operando en el mercado. cofundadores con 7+ años de experiencia en HealthTech. expansión a Piura en próximos meses. dependencia alta de marketing pago,2007.0,activo,1
EdTech ,4129987.5,3.0,39.0,5.7,29.0, Trujillo ,0.0,buena presencia en redes. equipo con 6+ años de experiencia. MVP listo y primeros beta testers,2007.0, prototipo ,1
E-commerce,824690.4,0.0,24.0,5.3,101.6,Buenos Aires,0.0,financiamiento semilla cerrado. operando en el mercado. tracción probada: piloto pagado en Santiago. sin modelo de ingresos definido,2016/2017, Activo ,1
SaaS,1288638.4,3.0,12.0,10.1,57.5,Bogotá ,No,apoyo de inversores reconocidos. buena presencia en redes. equipo con 5+ años de experiencia. operando en el mercado. cofundadores con 5+ años de experiencia en Gaming. MVP listo y primeros beta testers,2022.0,activo,1
HealthTech,9181061.9,2.0,40.0,5.4,50.1,Lima,0.0,equipo con 7+ años de experiencia. operando en el mercado. cofundadores con 7+ años de experiencia en AgroTech. enfocado en AgroTech con enfoque B2B. aún sin usuarios activos,2017.0,en pausa,0
 Travel,6036000.0,3.0,33.0,4.2,35.8,CDMX,1.0,buena presencia en redes. equipo con 6+ años de experiencia. operando en el mercado. tracción probada: piloto pagado en CDMX. expansión a Trujillo en próximos meses. dependencia alta de marketing pago,2025.0,activo,1
Logistics,3980861.8,0.0,11.0,6.7,24.6,Piura,0.0,equipo con 8+ años de experiencia. operando en el mercado. tracción probada: piloto pagado en Quito,2025.0,activo,1
Logistics,3899996.7,1.0,9.0,4.4,45.3,Bogotá,0.0,operando en el mercado. tracción probada: piloto pagado en Santiago. expansión a Bogotá en próximos meses,2018.0,prototipo,0
SaaS,77979.3,5.0,4.0,8.3,84.3,Bogotá,0.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. equipo con 6+ años de experiencia. crecimiento mensual 20% y churn bajo. MVP listo y primeros beta testers. aún sin usuarios activos,2013.0,activo,1
E-commerce,1090455.8,1.0,15.0,2.7,56.4,Quito,0.0,equipo con 5+ años de experiencia. expansión a Santiago en próximos meses. sin modelo de ingresos definido,2007-aprox,activo,0
Travel,10918720.7,3.0,9.0,4.1,45.1,Bogotá,1.0,operando en el mercado,2018.0,prototipo ,0
 Logistics ,1587599.2,3.0,1.0,5.2,29.1,Piura ,0.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. buena presencia en redes. operando en el mercado. crecimiento mensual 28% y churn bajo. MVP listo y primeros beta testers,2014.0, Activo ,1
SaaS,1819088.2,4.0,41.0,3.6,90.9,Lima,1.0,operando en el mercado. cofundadores con 2+ años de experiencia en AI/ML. MVP listo y primeros beta testers,2020.0,prototipo ,0
Travel,2457239.5,2.0,32.0,5.4,64.5,Piura,No,apoyo de inversores reconocidos. financiamiento semilla cerrado. operando en el mercado. enfocado en EdTech con enfoque app móvil,2015.0,activo,1
Fintech,823483.2,4.0,8.0,3.9,35.9, Santiago ,1.0,financiamiento semilla cerrado. operando en el mercado. enfocado en E-commerce con enfoque B2B,2017.0,activo,1
 EDTECH,1355766.1,0.0,30.0,4.4,103.1,Quito,0.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. buena presencia en redes. equipo con 6+ años de experiencia. MRR de $1599 con 63 clientes activos,2009.0, CERRADO,1
HEALTHTECH ,977436.7,3.0,28.0,2.5,44.2,quito ,0.0,equipo con 5+ años de experiencia. operando en el mercado. acuerdos B2B con 14 empresas y pipeline sólido. MVP listo y primeros beta testers,2012.0,activo,1
E-commerce,2486195.3,2.0,40.0,4.6,44.7, arequipa ,Sí,financiamiento semilla cerrado. operando en el mercado. tracción probada: piloto pagado en CDMX. dependencia alta de marketing pago,2020.0, prototipo ,1
 Fintech ,12242909.1,5.0,19.0,6.1,63.3, Bogotá,0.0,equipo con 6+ años de experiencia. tracción probada: piloto pagado en Arequipa. enfocado en Logistics con enfoque app móvil,2010.0,activo,1
AgroTech,6308295.4,3.0,32.0,1.5,21.0,Santiago,0.0,equipo con 5+ años de experiencia. tracción probada: piloto pagado en Arequipa. expansión a Cusco en próximos meses. aún sin usuarios activos,2010.0,activo,1
E-commerce,942102.8,1.0,34.0,7.9,113.1,Santiago,0.0,equipo con 5+ años de experiencia. operando en el mercado. tracción probada: piloto pagado en Trujillo. aún sin usuarios activos,2006/2007,activo ,0
Logistics,4732182.5,5.0,12.0,4.2,54.8, Buenos Aires ,0.0,financiamiento semilla cerrado. buena presencia en redes. equipo con 8+ años de experiencia. acuerdos B2B con 7 empresas y pipeline sólido. MVP listo y primeros beta testers. sin modelo de ingresos definido,2010.0, activo,1
E-COMMERCE,707309.7,5.0,19.0,3.5,4.1, Arequipa ,0.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. enfocado en EdTech con enfoque B2C,2012.0,PROTOTIPO ,0
AI/ML,4023561.7,1.0,7.0,4.1,47.8, Santiago ,0.0,financiamiento semilla cerrado. operando en el mercado. crecimiento mensual 23% y churn bajo. enfocado en SaaS con enfoque B2B,2010.0,en pausa,1
E-commerce,4664696.2,1.0,35.0,5.7,44.3,Cdmx ,0.0,MVP listo y primeros beta testers,2009.0,prototipo,1
HealthTech,245833.0,1.0,49.0,6.2,52.4,Cusco,0.0,buena presencia en redes. operando en el mercado. tracción probada: piloto pagado en Piura. expansión a Cusco en próximos meses. dependencia alta de marketing pago,2022.0,activo,1
Fintech,443517.2,5.0,17.0,4.2,19.2,Bogotá,0.0,operando en el mercado. acuerdos B2B con 3 empresas y pipeline sólido. MVP listo y primeros beta testers,2006.0, prototipo,0
Fintech,3154878.3,5.0,20.0,4.6,75.8,Bogotá,0.0,apoyo de inversores reconocidos. financiamiento semilla cerrado. equipo con 10+ años de experiencia. operando en el mercado. expansión a Buenos Aires en próximos meses. equipo parcial y tiempo limitado,2019.0,activo,1
AgroTech,1315310.7,1.0,14.0,0.9,62.0,Santiago,1.0,buena presencia en redes. equipo con 6+ años de experiencia. operando en el mercado. cofundadores con 6+ años de experiencia en Gaming. expansión a Arequipa en próximos meses. dependencia alta de marketing pago,2020.0,activo,1
FINTECH,3774734.5,4.0,23.0,5.8,31.8,Trujillo,0.0,enfocado en HealthTech con enfoque B2B. equipo parcial y tiempo limitado,2006.0,prototipo,0
AI/ML,1503488.3,3.0,25.0,6.5,38.7,LIMA ,0.0,apoyo de inversores reconocidos. buena presencia en redes. equipo con 6+ años de experiencia,2010.0,prototipo,1
Travel,1109827.5,2.0,15.0,6.1,109.2,Trujillo,No,apoyo de inversores reconocidos. financiamiento semilla cerrado. buena presencia en redes. crecimiento mensual 28% y churn bajo. enfocado en Gaming con enfoque marketplace,2021.0,en pausa,0
HealthTech,1005499.4,3.0,8.0,9.7,69.7,Trujillo,0.0,buena presencia en redes. equipo con 5+ años de experiencia. operando en el mercado. cofundadores con 5+ años de experiencia en AI/ML. MVP listo y primeros beta testers,2008.0,activo,1
 saas ,1550120.3,0.0,33.0,6.7,28.6,piura,0.0,apoyo de inversores reconocidos. equipo con 7+ años de experiencia. operando en el mercado. enfocado en HealthTech con enfoque B2B,2021.0, Prototipo ,1
EdTech,8034645.6,0.0,8.0,9.2,97.1,Lima,No,financiamiento semilla cerrado. equipo con 5+ años de experiencia. crecimiento mensual 15% y churn bajo,2010.0,prototipo,1
gaming,4145057.2,2.0,30.0,9.1,65.2,LIMA ,Sí,buena presencia en redes. operando en el mercado. crecimiento mensual 23% y churn bajo. enfocado en HealthTech con enfoque marketplace,2009.0, Activo,1
SaaS,1936927.2,4.0,16.0,4.1,131.1,cdmx,0.0,apoyo de inversores reconocidos. tracción probada: piloto pagado en Piura. sin modelo de ingresos definido,2012.0,en pausa,0
Logistics,2898951.1,4.0,26.0,4.6,25.3,Piura ,Sí,apoyo de inversores reconocidos. operando en el mercado. expansión a Lima en próximos meses,2019.0,activo,0
Gaming,4008160.7,0.0,45.0,4.1,47.9,Santiago ,1.0,apoyo de inversores reconocidos. operando en el mercado. acuerdos B2B con 5 empresas y pipeline sólido. enfocado en AI/ML con enfoque SaaS,2011/2012,activo,0
Logistics,427200.0,0.0,25.0,5.0,31.0, santiago ,0.0,tracción probada: piloto pagado en Lima. enfocado en E-commerce con enfoque B2B,2024.0,activo,0
EdTech,623207.5,2.0,35.0,7.3,48.8,CDMX,0.0,apoyo de inversores reconocidos. buena presencia en redes. equipo con 8+ años de experiencia. aún sin usuarios activos,2012.0,activo,1
HealthTech,4078867.9,0.0,42.0,1.0,89.5,Buenos Aires ,1.0,apoyo de inversores reconocidos. operando en el mercado. crecimiento mensual 28% y churn bajo. aún sin usuarios activos,2009.0,activo,1
Fintech,7097327.2,3.0,39.0,3.4,69.0,Piura,1.0,operando en el mercado. cofundadores con 4+ años de experiencia en Travel. MVP listo y primeros beta testers. equipo parcial y tiempo limitado,2016.0,activo,1
Fintech,5575333.4,1.0,31.0,0.6,57.4,Bogotá,0.0,apoyo de inversores reconocidos. equipo con 6+ años de experiencia. expansión a Cusco en próximos meses. equipo parcial y tiempo limitado,2013.0,activo,0
E-commerce,5380631.5,4.0,50.0,2.8,72.0,Arequipa,0.0,buena presencia en redes. equipo con 7+ años de experiencia. cofundadores con 7+ años de experiencia en E-commerce,2009.0,activo,1
E-commerce,1994408.3,5.0,45.0,9.1,45.4,Quito,No,financiamiento semilla cerrado. equipo con 6+ años de experiencia. cofundadores con 6+ años de experiencia en Logistics,2024.0,activo,1
 logistics ,4046116.6,4.0,8.0,7.9,15.6,santiago,0.0,buena presencia en redes. equipo con 7+ años de experiencia. operando en el mercado. MVP listo y primeros beta testers,2018.0,activo,1
AgroTech,1670912.0,5.0,27.0,8.4,24.2, bogotá,0.0,operando en el mercado. crecimiento mensual 12% y churn bajo. enfocado en Travel con enfoque B2C,2020.0, En Pausa ,0
AgroTech,2926390.3,0.0,32.0,7.0,86.8,Quito,0.0,equipo con 6+ años de experiencia. operando en el mercado. expansión a Santiago en próximos meses,2015.0,activo,0
SaaS,1245412.8,0.0,24.0,0.9,52.9,Arequipa,0.0,apoyo de inversores reconocidos. buena presencia en redes. acuerdos B2B con 4 empresas y pipeline sólido,2012.0,activo,0
EdTech,786534.3,2.0,2.0,1.5,93.9,Bogotá,0.0,buena presencia en redes. enfocado en E-commerce con enfoque API-first,2007.0,activo,1
E-Commerce ,1308019.3,0.0,10.0,4.0,44.7,trujillo,0.0,financiamiento semilla cerrado. MVP listo y primeros beta testers,2024.0,activo,1
 Logistics,7230529.5,4.0,6.0,5.7,54.1,Buenos Aires,0.0,apoyo de inversores reconocidos. buena presencia en redes. equipo con 6+ años de experiencia. operando en el mercado. crecimiento mensual 16% y churn bajo. expansión a Piura en próximos meses. equipo parcial y tiempo limitado,2017.0,prototipo,1
 logistics,618381.8,4.0,26.0,7.8,41.3,CDMX,0.0,equipo con 6+ años de experiencia. operando en el mercado. expansión a Lima en próximos meses. sin modelo de ingresos definido,2025.0,activo,1
Gaming,1628195.6,4.0,35.0,5.7,66.9, Quito,1.0,equipo con 5+ años de experiencia. operando en el mercado. enfocado en AI/ML con enfoque B2B,2023.0,activo,1
Fintech,2432048.4,0.0,12.0,8.3,36.7,Santiago,0.0,apoyo de inversores reconocidos. equipo con 5+ años de experiencia. enfocado en SaaS con enfoque SaaS,2013/2014,activo,1
Gaming,2649438.0,3.0,48.0,0.3,22.3,Bogotá,0.0,operando en el mercado. cofundadores con 3+ años de experiencia en AgroTech. MVP listo y primeros beta testers. sin modelo de ingresos definido,2016.0,activo,1
SaaS,3034297.5,5.0,8.0,3.2,51.4,Bogotá,Sí,apoyo de inversores reconocidos. cofundadores con 2+ años de experiencia en Travel. enfocado en Travel con enfoque API-first,2025.0, Prototipo,0
AI/ML,2550416.2,4.0,30.0,9.5,47.4,Santiago,1.0,apoyo de inversores reconocidos. tracción probada: piloto pagado en Piura. expansión a Lima en próximos meses. equipo parcial y tiempo limitado,2011.0,activo,1
 AI/ML,1392117.1,1.0,31.0,5.7,-9.7,buenos aires ,1.0,financiamiento semilla cerrado. operando en el mercado. dependencia alta de marketing pago,2023.0,activo,1
AI/ML,260163.5,3.0,48.0,3.0,146.0,CDMX,0.0,operando en el mercado. cofundadores con 1+ años de experiencia en AgroTech. aún sin usuarios activos,2006-aprox,activo,1
Fintech,1506047.9,0.0,29.0,3.1,55.4, Bogotá ,0.0,equipo con 5+ años de experiencia. operando en el mercado. MRR de $4066 con 40 clientes activos. expansión a Cusco en próximos meses. equipo parcial y tiempo limitado,2014.0, activo,0
Fintech,768390.4,1.0,17.0,7.4,105.5,Santiago,0.0,buena presencia en redes. equipo con 6+ años de experiencia. MVP listo y primeros beta testers,2022.0,activo,1
 GAMING ,5814385.6,5.0,13.0,1.9,42.0,Lima ,0.0,financiamiento semilla cerrado. buena presencia en redes. operando en el mercado,2022.0,activo,0
AI/ML,1307266.6,5.0,20.0,6.1,85.3, Santiago ,0.0,equipo con 5+ años de experiencia. acuerdos B2B con 15 empresas y pipeline sólido. enfocado en Logistics con enfoque app móvil. aún sin usuarios activos,2015.0,ACTIVO ,0
AI/ML,1939676.7,2.0,33.0,2.1,76.2, Santiago ,Sí,buena presencia en redes. enfocado en E-commerce con enfoque API-first,2019.0,activo,1
 healthtech,977033.5,1.0,41.0,2.5,49.4, Cusco,1.0,buena presencia en redes. equipo con 6+ años de experiencia. operando en el mercado. tracción probada: piloto pagado en Cusco. MVP listo y primeros beta testers. equipo parcial y tiempo limitado,2016.0,activo,0
 EdTech ,2094400.0,5.0,7.0,7.7,61.8,Santiago ,0.0,operando en el mercado. crecimiento mensual 13% y churn bajo. expansión a Bogotá en próximos meses. aún sin usuarios activos,2006.0,prototipo,0
Logistics,130560.0,2.0,27.0,5.9,36.0,Piura,0.0,apoyo de inversores reconocidos. buena presencia en redes. equipo con 8+ años de experiencia. operando en el mercado. crecimiento mensual 18% y churn bajo,2015.0,prototipo,1
Logistics,2962508.4,4.0,26.0,7.7,52.5,Lima,No,apoyo de inversores reconocidos. financiamiento semilla cerrado. buena presencia en redes. operando en el mercado. enfocado en AI/ML con enfoque API-first,2018.0,activo ,1
EdTech,1138336.6,0.0,50.0,5.4,69.0,Bogotá,0.0,buena presencia en redes. equipo con 8+ años de experiencia. operando en el mercado. expansión a Piura en próximos meses. aún sin usuarios activos,2011.0,en pausa,1
HealthTech,2299335.9,2.0,47.0,3.5,79.6,Lima,1.0,apoyo de inversores reconocidos. MRR de $4091 con 165 clientes activos. aún sin usuarios activos,2023.0,activo,0
E-commerce,270747.4,3.0,23.0,3.6,27.3,Piura,1.0,apoyo de inversores reconocidos. operando en el mercado. cofundadores con 1+ años de experiencia en EdTech. MVP listo y primeros beta testers. equipo parcial y tiempo limitado,2016.0,en pausa,0
Travel,311200.0,4.0,27.0,5.0,33.5,Piura,1.0,apoyo de inversores reconocidos. operando en el mercado. acuerdos B2B con 14 empresas y pipeline sólido. enfocado en E-commerce con enfoque app móvil. sin modelo de ingresos definido,2018.0,activo ,1
